id,ticker,financialGroup,displayName,createdAt,updatedAt
500,SNGYO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:24.059,2025-10-19 22:36:03.269
501,SNICA,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:25.826,2025-10-19 22:36:04.638
502,SNKRN,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:27.132,2025-10-19 22:36:06.018
503,SNPAM,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:28.68,2025-10-19 22:36:07.409
504,SODSN,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:30.197,2025-10-19 22:36:08.814
505,SOKE,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:31.884,2025-10-19 22:36:10.146
506,SOKM,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:33.577,2025-10-19 22:36:11.267
507,SONME,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:35.208,2025-10-19 22:36:12.664
508,SRVGY,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:36.955,2025-10-19 22:36:14.037
509,SUMAS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:38.609,2025-10-19 22:36:15.517
510,SUNTK,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:40.185,2025-10-19 22:36:16.934
511,SURGY,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:41.825,2025-10-19 22:36:18.453
512,SUWEN,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:43.335,2025-10-19 22:36:19.863
513,TABGD,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:45.035,2025-10-19 22:36:21.336
514,TARKM,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:46.65,2025-10-19 22:36:22.791
515,TATEN,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:47.942,2025-10-19 22:36:24.105
516,TATGD,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:49.703,2025-10-19 22:36:25.46
517,TAVHL,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:51.485,2025-10-19 22:36:26.862
518,TBORG,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:53.255,2025-10-19 22:36:28.23
519,TCELL,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:55.027,2025-10-19 22:36:29.257
520,TCKRC,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:56.518,2025-10-19 22:36:30.654
